都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,定休日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
042030,0000000011,宮城県,塩竈市,マリンゲート塩釜,マリンゲートシオガマ,,,宮城県塩竈市港町1-4-1,,38.31926,141.032135,店舗により異なる,,,店舗により異なる（ショッピングゾーンは9:00～18:00）,,,「マリンゲート塩釜」は「塩釜港旅客ターミナル」の愛称。塩竈の離島である浦戸諸島と塩竈を結ぶ塩竈市営汽船の発着所であるとともに、日本三景・松島の遊覧船の発着場で、松島観光の玄関口となっています。最寄はJR仙石線の本塩釜駅。駅からマリンゲート塩釜までは、潮風に吹かれながらデッキを歩いて10分ほど。駅隣接のショッピングセンターであるイオンタウンの前から高架歩道「マリンデッキ塩釜」がつながっています。館内1階はお土産店、2階は飲食店、屋上は展望台となっています。焼きたての笹かまぼこをはじめとした地域の特産品を取り扱うお土産店や、地元の美味しい料理を食べさせてくれる寿司、イタリアンパスタ、中<br>国料理等の飲食店があり、遊覧船の発着を待つ間も有意義に過ごせます。<br><br>日本三大船祭りのひとつにも数えられる「塩竈みなと祭」の時は、ここに大勢の見物客が訪れます。,,"●三陸自動車道 利府中ICより約10分
●仙台東部道路 仙台港北ICより約15分
●JR仙石線本塩釜駅より徒歩約10分
●JR東北本線塩釜駅よりタクシー約8分",150台,,塩釜港開発株式会社,022-361-1500,,,,http://www.shiogama.co.jp/marinegate/,
042153,0000000012,宮城県,大崎市,みちのく古川 食の蔵 醸室（かむろ）,,,,宮城県大崎市古川七日町3-10,,38.576397,140.955032,各店舗による,,,各店舗による,,,緒絶橋のたもとに建つ、橋平酒造店《寛政2年（1790年)創業》の歴史的資源を活かした商業施設です。酒造店の蔵や母屋を改装した施設には大小15店舗が営業し、地元の豊な食材を使用した食事がお楽しみいただけるほか、お買物もできます。,,,,,,0229-21-1020,,,,https://www.kamuro.info/,
042056,0000000013,宮城県,気仙沼市,モーランド・本吉,モーランド・モトヨシ,,,宮城県気仙沼市本吉町角柄15-4,,38.794018,141.43837,"●べーごこハウス：月・火曜日（祝祭日の場合は翌日）
●まきばのがっこう：月・火曜日（予約の場合は営業）
●ミルクハート館：年末年始",,,9:00～16:00,,,モーランド・本吉は、太平洋を望むことのできる52ヘクタールの丘陵地に広がる緑豊かな牧場。「べーごこハウス」ではBBQのできる焼肉ハウスもあります。たっぷりのお肉を牧場特製のタレでどうぞ。フレッシュな牛乳を使用したアイスや、ババロア、ヨーグルトなども味わえます。「まきばのがっこう」では、動物とのふれあい体験ができます。ウサギやポニー、ヤギ、ヒツジとのふれあいは予約不要で無料。撫でたり、抱っこしたり、一緒に歩いたりを楽しめます。餌やりや、ポニーの乗馬体験（土日祝）、乳牛の乳しぼり体験（イベント時のみ実施）といった有料メニューもリーズナブル。4種類（バター、カッテージチーズ、アイスクリーム、ソーセージ）の手作り体験（1週間前までに要予約）もできます。そして、子どもたちに大人気なのが全長123mのローラースライダー。大自然を見渡しながらビューンと滑れば気分爽快！,,"（岩手県方面から）三陸自動車道本吉津谷ICから約13分
（仙台方面から）三陸自動車道小泉海岸ICから約12分
",58台,,,"●べーごこハウス：0226-43-2468
●まきばのがっこう：0226-29-6208
●ミルクハート館：0226-43-9006",,,,https://www.moolandmotoyoshi.com/,
044016,0000000014,宮城県,松島町,円通院,エンツウイン,,,宮城県宮城郡松島町松島字町内67,,38.371414,141.059006,,,,"4月～10月下旬
8:30～17:00　

10月下旬～11月
8:30～16:30

12月～3月
9:00～16:00","大人300円　
高校生150円　
小・中学生100円　
※団体割引は要確認",,「縁結びの寺」「紅葉の名所」として多くの人が訪れる円通院。日本三景の一つに数えられる松島にあり、瑞巌寺に隣接しています。高名な戦国大名・伊達政宗の嫡孫光宗の菩提寺である円通院には、国の重要文化財に指定されている霊廟「三慧殿」があり、伊達氏の家臣・支倉常長がヨーロッパより持ち帰ったされるバラの絵が見られます。このバラをテーマにした庭があることから「バラ寺」としても知られています。他にも厨子内部には、ダイヤ、クローバー、ハートやスペードといった模様が描かれ西洋の影響をみることができます。庭園もこの寺の魅力の一つ。石庭をはじめ特徴ある庭が4つあります。10月下旬～11月下旬の紅葉の時期には、色づく木や葉が境内を彩り、夜のライトアップにはまた違った表情に。水面に映る紅葉は、どこか別世界にいるかのような美しさ。境内には、美しい庭園を見ながら懐石料理が楽しめるお食事処もあります。山門を入るとすぐ左に見える「縁結び観音」には奉納された可愛いこけしがずらりと並びます。良縁を祈願し、「縁結びこけし」に願い事を書いて奉納してみてはいかがでしょうか。好きな石を選べる数珠づくり体験も人気です。数珠は仏様に合掌する際に手に掛ける大切な法具。持っているだけで平穏や安らぎを得られるといわれています。天然石、ガラス、プラスチックからコースを選べ、天然石コースを選ぶと、完成後に選んだ石の説明をしてくれます。自分で作ったオリジナルの数珠は、自分への旅のお土産にぴったり。,,"●JR仙石線・松島海岸駅から徒歩約5分

●三陸自動車道松島海岸ICより国道45号線経由で約5分",国道45号線沿いに県営駐車場あり,,,022-354-3206,,,,http://www.entuuin.or.jp/index.html,
043010,0000000015,宮城県,蔵王町,遠刈田温泉,トオガッタオンセン,,,宮城県刈田郡蔵王町遠刈田温泉,,38.113247,140.537766,,,,,,,古くから湯治場として親しまれ、開湯400年以上の歴史を持つ遠刈田温泉。少し熱めのお湯が特徴で、神経痛、リウマチ、筋肉痛などに効能があるとされています。町には「神の湯」「壽の湯」と2つの公衆浴場があり、「神の湯」には観光案内所が併設されているほか、建物の外には足湯もあり気軽に温泉を体験できる便利なスポットです。ちょっと立ち寄り、足湯を楽しむだけでも体がぽかぽかと温まります。宿泊できる温泉旅館も多数。おみやげ屋さんや商店が並ぶ温泉街はどこか懐かしくほっとする町並み。散策も楽しめます。前頭の赤い放射線状の模様ときれいな花の模様が特徴的な遠刈田こけしも有名です。松川に架かる「こけし橋」を渡ると、工房が軒を連ねる町並みがあるのもこの温泉街ならでは。「蔵王の御釜」や「エコーライン」も近いので観光やドライブを楽しむのにも便利な場所です。冬にはスキーに訪れる人々でにぎわいます。,,"●JR白石駅より宮城交通バスで約50分 遠刈田温泉下車
●東北自動車道 白石ICから車で約20分",,,遠刈田温泉旅館ホテル組合　,0224-34-2725,,,,http://togatta.jp/,
042030,0000000016,宮城県,塩竈市,塩釜水産物仲卸市場,シオガマスイサンブツナカオロシシジョウ,,,宮城県塩竈市新浜町1-20-74,,38.327976,141.043839,"水曜日
（お盆やお正月は臨時休業日あり）",,,"【開市時間】平日3:00～13:00　土曜日3:00～14:00　日曜・祝日6:00～14:00
【食事時間】平日6:30～12:00　土・日・祝日6:30～13:00
※店舗により異なる。",,,"新鮮な魚介類と豊富な食材が勢揃いし、売り場面積4,950平方メートル、店舗数100店の東北最大級の市場。目利きのプロが買い付ける市場であるものの、一般客も卸値で購入することができます。塩釜港は全国でも有数の生マグロの水揚げ量を誇り、場内には25ものマグロ専門店が軒を連ねます。新鮮なマグロを購入することもできますし、運が良ければ大きなマグロを目の前で解体する迫力ある姿を目にすることもできます。特に9～12月にかけては、厳しい条件をクリアしたメバチマグロが「ひがしもの」と呼ばれるブランドマグロに認定され、よりおいしいマグロを堪能することができます。場内には5ヶ所のお食事処が併設されており、場内で食べたい海産物を購入後、マイ海鮮丼コーナーでごはんを購入し、きれいにトッピングして自分だけのオリジナル海鮮丼を作ることができます。自由焼炉では、場内で購入した海産物を自由に焼いて食べることができます。営業時間はお店によって異りますが、お昼以降は閉めるお店が増えるため、午前中の来場がおすすめです。",,"●三陸自動車道 利府中ICより約15分
●JR仙石線東塩釜駅より徒歩約15分",あり,,,022-362-5518,,,,http://www.nakaoroshi.or.jp/,
042030,0000000017,宮城県,塩竈市,志波彦神社・鹽竈神社,シワヒコジンジャ・シオガマジンジャ,,,宮城県塩釜市一森山1-1,,38.318637495781545,141.01218325163978,,,,"【開門時間】5:00～18:00
【祈祷受付時間】9:00～16:30",,,鹽竈神社は、古くから東北鎮護・陸奥の国一ノ宮として、庶民からあがめられていました。元々は鹽竈神社のみが鎮座していましたが、明治時代に志波彦神社が境内に遷座し、現在は「志波彦神社・鹽竈神社」となっています。2012年、本殿や拝殿、石鳥居などが国の重要文化財の指定を受けました。例年4月頃には鹽竈神社境内にある「鹽竈桜」が見頃を迎えますが、こちらは国の天然記念物に指定されています。また、7月に行われる「塩竈みなと祭」は三大船祭に数えられ、前夜祭の花火大会や当日のパレードなど盛大な祭りになっています。神社境内には鹽竈神社博物館があり、鹽竈神社にかかわる歴史資料等を収集・保存すると共に展示・公開しています。武具・絵画・工芸品・古文書など「しおがまさま」の悠久の歴史とその御神徳を物語る貴重な文化財を目にすることができます。,,"JR仙石線「本塩釜」駅より
・表参道（表坂）の石鳥居まで徒歩約15分
・東参道（裏坂）の石鳥居まで徒歩約7分
・社務所前まで徒歩約15分",あり（300台）,,,022-367-1611,,,,http://www.shiogamajinja.jp/,
042153,0000000018,宮城県,大崎市,化女沼,,,,宮城県大崎市古川小野字遠沢2-2化女沼ダム,,38.629372,140.985077,,,,,,,周囲4キロメートルの大自然に囲まれた化女沼は、美しい娘と旅の若者との悲恋物語などの伝説があり、四季を通して訪れる人々に神秘的なたたずまいを見せてくれます。春は化女沼を囲う周遊道路に桜が咲き誇り、夏には湖面を蓮の花が覆います。2008年10月にラムサール条約湿地に登録され、冬にはヒシクイ、マガン、オオハクチョウの越冬地としても知られ、通年で自然を満喫できる場所として多くの人にお楽しみいただけます。,,,,,化女沼観光資料館,0229-28-1353,,,,"http://www.city.osaki.miyagi.jp/index.cfm/24,1155,108,235,html",
042153,0000000019,宮城県,大崎市,潟沼,カタヌマ,,,宮城県大崎市鳴子温泉湯元69,,38.739563,140.71431,11月下旬～4月下旬は冬季閉鎖,,,,,,1200年前に火山の噴火でできたカルデラ湖。湖水は世界的に見てもかなりの強酸性であり、水素イオン濃度(pH)は2.4にも達します。そのため、潟沼にはたったの1匹すら魚が潜んでいません。湖面は、スカイブルー、真っ青、エメラルドグリーンとその時々の天気によって様々な色に変化するので幻想的な雰囲気。表情を一変させる、秋の潟沼も見逃せません。夏までは青や緑だった湖面は、周囲の山々の紅葉が映り込むことによって、紅葉色の湖面を見せてくれるからです。夏はSUPを、秋は紅葉ハイキングを楽しむのがおすすめの過ごし方。11月下旬から4月下旬までの期間は冬期閉鎖となるので、お出かけの前にご確認ください。,,"●東北自動車道 古川ICより約45分
●JR陸羽東線鳴子温泉駅より車で約10分",あり,,鳴子温泉郷観光協会,0229-82-2102,,,,"https://www.city.osaki.miyagi.jp/index.cfm/24,1167,108,235,html",
042064,0000000020,宮城県,白石市,鎌先温泉,カマサキオンセン,,,宮城県白石市福岡蔵本字鎌先,,38.025089,140.576355,,,,,,,南蔵王不忘山を下った谷底に湧き、4軒の宿が点在する温泉地。俗塵を避けての保養・療養には格好の場所です。中には湯治場情緒が漂う、自炊のできる宿も。1428年（正長元年）の開湯から600年以上の歴史を持つ温泉で、里人が草刈り中に鎌の先で温泉を掘り当てたのが名前の由来とか。「傷に鎌先」と呼ばれ、切り傷に効能があると評判の「奥羽の薬湯」です。昔から湯治客を楽しませてきたのが、名物「白石温麺（うーめん）」。油を一切使わないので、消化が良く、胃腸の弱い人に喜ばれています。自炊にもぴったりです。隠れ家のような宿で、奥羽の薬湯に癒されてみませんか？,,"●JR白石蔵王駅・白石駅より車で約15分
●東北自動車道 白石ICより約15分",,,白石市観光案内所（JR東日本東北本線白石駅構内）,0224-26-2042,,,,https://shiroishi.ne.jp/feature/335,
042153,0000000021,宮城県,大崎市,感覚ミュージアム,カンカクミュージアム,,,宮城県大崎市岩出山字下川原町100,,38.657051,140.869995,月曜日（祝日の場合は翌日）、年末年始,,,9:30～17:00（最終入館16:30）,"大人600円（団体480円）
中・高校生300円（団体240円）
小学生250円（団体200円）",,感覚ミュージアムは、視覚・聴覚・嗅覚・味覚・触覚といった五感をフル稼働して楽しむミュージアム。館内はダイアローグゾーン（身体感覚空間）とモノローグゾーン（瞑想空間）の二つのゾーンからなっています。「耳のオブジェ」「闇の森」「香りの森」など、感覚を意識することのできる展示がいっぱい。感覚体験を通して感性を磨き、想像力を高めることで、物質文明に生きる私たちが失いがちな「ゆとり」や「心の豊かさ」を取り戻すのがコンセプト。子供も大人も楽しみながら癒される、ユニークな空間です。,,"●東北自動車道 古川ICより約15分
●JR陸羽東線岩出山駅より徒歩約7分、有備館駅より徒歩約10分","●普通車：約50台
●大型車：4台",,,0229-72-5588,,,,http://www.kankaku.org/,
044016,0000000022,宮城県,松島町,観瀾亭,カンランテイ,,,宮城県宮城郡松島町松島町内56,,38.369701,141.062378,,,,4月～10月8:30～17:00　11月～3月8:30～16:30,"【観覧料】大人200円（団体150円）
高・大学生150円（団体100円）
小・中学生100円（団体80円）",,松島海岸の小高い丘に建てられた、瀾（さざ波）を愛でるための茶室。伏見桃山城にあった豊臣秀吉の茶室を、伊達政宗が貰い受けて江戸藩邸に移築し、二代藩主忠宗が松島湾の絶景を眺められるこの地に一木一石変えず移したと伝えられています。要人の遊覧や宿泊に利用されただけに豪華で格式ある建物は、国の重要文化財に指定されています。現在は抹茶体験が行えるので、伊達藩の歴代藩主と同じロケーションで美しい松島湾の絶景を眺めながら一息ついてみてはいかがでしょうか。ちょっと贅沢なひとときを過ごせる大人の空間です。,,JR仙石線松島海岸駅より徒歩約5分,なし,,,022-353-3355,,,,"http://www.town.miyagi-matsushima.lg.jp/index.cfm/8,3105,30,html",
042056,0000000023,宮城県,気仙沼市,岩井崎,イワイサキ,,,宮城県気仙沼市波路上岩井崎1,,38.82896,141.602982,,,,,,,　三陸復興国立公園内にある岩井崎は、長い年月をかけて海水により浸食された石灰岩地質になっており、岬の先端には、海蝕洞の岩孔に波が打ち寄せるたびに潮を吹き上げる潮吹岩があります。波が荒いときにはいっそう高くダイナミックに吹き上がり、訪れる人々に自然の営みの不思議さを感じさせてくれます。　龍の形の被災松「龍の松」も見どころの一つ。東日本大震災の津波で甚大な被害を受けましたが、松の一部が奇跡的に残り、天へと上ろうとする龍のような形に見えることからこの名がつけられました。　塩づくりが盛んに行われていた場所でもあり、「塩づくり体験館」では海水を使ったミネラル豊富な自然塩づくりに挑戦できます。,,"お車をご利用の場合
（岩手県方面から）三陸自動車道気仙沼鹿折ICから約9分
　（仙台方面から）三陸自動車道大谷海岸ICから約9分
公共交通機関をご利用の場合
◆JR気仙沼駅からタクシーで約25分
◆仙台駅・一ノ関駅からそれぞれ気仙沼直通バスも運行中",30台,,気仙沼市階上観光協会,0226-27-5410,,,,https://kesennuma-kanko.jp/iwaisaki/,
042153,0000000024,宮城県,大崎市,岩出山城址（城山公園）,イワデヤマジョウシ（シロヤマコウエン）,,,宮城県大崎市岩出山字城山42-2,,38.654869,140.861237,,,,,無料,,"豊臣秀吉の命により山形県から城を移した伊達政宗は、治府を仙台に移すまでの12年間、岩出山を居城としました。現在の岩出山城址は公園として整備され、訪れる人々の憩いの場となっており、岩出山の町が一望できます。4月中旬から下旬にかけては、ソメイヨシノや、枝垂れ桜、八重桜など約350本の桜が咲き誇り、お花見の時期は大勢の人で賑わいます。毎年9月第2週目の土・日に開催される政宗公祭りは、今から約420年前の文禄元年、3,000人もの大勢を率いて岩出山を出発し、上洛する武者姿を再現したものです。ほら貝を吹き鳴らし、きらびやかに身を装った騎馬武者隊・甲冑武者隊などの勇壮な様子は、まさに動く戦国絵巻そのものです。",,"●東北自動車道 古川ICより約15分
●JR陸羽東線有備館駅又は岩出山駅より徒歩約15分",10台,,岩出山総合支所地域振興課,0229-72-1211,,,,,
